No,Perusahaan,Alamat,KBLI
18849.,PT CATURINDO AGUNGJAYA RUBBER,"Jalan Rumah Sakit no. 82-88, Pakemitan, Cinambo, Kota Bandung, Jawa Barat Telp. 0227801842",22192
18850.,PT Caturindo Jaya Bersama,"JL SUPARYONO BARAT NO 7A RT 02, RW 03. LK II KENINGARAN BAJANG TALUN BLITAR, Bajang, Talun, Kabupaten Blitar, Jawa Timur Telp. 03425691343",25933
18851.,PT Caturkarda Depo Bangunan Tbk,"JL. RAYA SERPONG, KM. 2, Pakulonan, Serpong Utara, Kota Tangerang Selatan, Banten Telp. 02153120008",
18852.,PT Caturtama Persada,"Pusat Niaga Terpadu Blok AA 8 BD Jalan Daan Mogot KM. 19,6, Poris Jaya, Batuceper, Kota Tangerang, Banten Telp. 021-54365199",32909
18853.,PT Cau Coklat Internasional,"BANJAR SEMINGAN, Petiga, Marga, Kabupaten Tabanan, Bali Telp. 03682301246",10732
18854.,PT CAU COKLAT INTERNASIONAL,Telp.,
18855.,PR Cauwwa,"berampa, Katumbangan, Campalagian, Kabupaten Polewali Mandar, Sulawesi Barat Telp. 082************",10792
18856.,PR Cavalleresco,Telp.,
18857.,PT CAVE SUMBER BERKAT,"Komplek Industri Trikencana Kav.12A, Kp. Cilampeni RT 02/RW 06, Desa Cilampeni, Katapang, Kabupaten Bandung, Jawa Barat Telp. 022-5897458",22220
18858.,PT Cave Sumber Berkat,Telp.,
18859.,PT Caveman Artistika Nusantara,"Jl SULTAN AGUNG NO 8 PALBAPANG BANTUL, Palbapang, Bantul, Kabupaten Bantul, DI Yogyakarta Telp. 02742815236",31001
18860.,PR Cavia,Telp.,
18821.,PT Catur Perdana Lestari,"JL. Cilampe 3 Kompleks Pergudangan 2000 Unit 26-27, Salembaran Jaya, Kosambi, Kabupaten Tangerang, Banten Telp. 021-55931539",14120
18822.,PT Catur Pilar Sejahtera,"JL. SATRIA, KETEGAN, TAMAN, Kabupaten Sidoarjo, Jawa Timur Telp. (031) 7882001",13929
18823.,PT Catur Pillar Innovations,"Jatirejo, Jatipuro, Trucuk, Kabupaten Klaten, Jawa Tengah Telp. 085********",16293
18824.,PR Catur Prayogo,"dusun gading rt 01 rw 06, Selopuro, Selopuro, Kabupaten Blitar, Jawa Timur Telp. 082*********",21022
18825.,PT Catur Prima Cahaya,"Jl. Pangkalan 1B, Bantar Gebang, Bantar Gebang, Kota Bekasi, Jawa Barat Telp. 02182610611",19212
18826.,PT Catur Prima Perkasa,Telp.,
18827.,PT Catur Putra Jaya,Telp.,45407
18828.,PT Catur Putra Mapan,"jl melati kp baru no 88 rt 01 rw 08, wanaherang, gunung putri, Kabupaten Bogor, Jawa Barat Telp. 021-86863177",32909
18829.,PT CATUR PUTRA SURYA,"Rungkut Industri III No. 36 Surabaya, Rungkut Menanggal, Gunung Anyar, Kota Surabaya, Jawa Timur Telp. 031 - 8430652",26520
18830.,CV Catur Putra Tehnik,Telp.,
18831.,PT Catur Putra Tunggal,"Jl. Raden Saleh No.89, Karang Mulya, Karang Tengah, Kota Tangerang, Banten Telp. 02158906999",23112
18832.,PR Catur Rinna Puspitasari,"Jl. Husein Hamzah Gg. Rumput Permai No. 27B, Sungaijawi  Dalam, Pontianak  Barat, Kota Pontianak, Kalimantan Barat Telp. 081*********",10792
18833.,PT Catur Sekawan Sentosa,"KOMPLEKS GUDANG WIRA 9 BLOK B-17, Cangkir, Driyorejo, Kabupaten Gresik, Jawa Timur Telp. 081********",27404
18834.,PR Catur Setiawan,"Jojoran 3A Blok 7 no 17A, Mojo, Gubeng, Kota Surabaya, Jawa Timur Telp. 081*********",
18835.,PT Catur Sukses Langgeng Abadi,"Jl. Raya Bojonggede (Ruko Bojonggede 8 F), Bojonggede, Bojong Gede, Kabupaten Bogor, Jawa Barat Telp. 02187982386",45407
18836.,PT Catur Surya Gemilang,Telp.,
18837.,PR Catur Susanti,"RT.01 RW.01, Nglongsor, Tugu, Kabupaten Trenggalek, Jawa Timur Telp. +62 812-3508-8844",10392
18838.,PT Catur Tunggal Mekatama,"Jalan Raya Narogong, RT 003/002, Bojong Rawalumbu, Rawalumbu, Kota Bekasi, Jawa Barat Telp. (021) 82748131",45201
18839.,CV catur Tunggal Mukti,Telp.,31001
18840.,PT Catur Wangsa Indah,"JL.MAYOR SL TOBING NO.46, TUGUJAYA, CIHIDEUNG, Kota Tasikmalaya, Jawa Barat Telp. 0265-331006",20231
19201.,PR Ceslaus Randi Wulan,"WAEKAKO, Rawangkalo, Riung, Kabupaten Ngada, Nusa Tenggara Timur Telp. 082*********",31001
19202.,PR Cesniwati,"Jorong Koto kaciek, Muaro Paneh, Bukit Sundi, Kabupaten Solok, Sumatera Barat Telp. 081*********",10750
19203.,PT Perorangan Cessy Beverage Food,"Jl. Jati No.21, Marga Karya, Kulisusu Barat, Kabupaten Buton Utara, Sulawesi Tenggara Telp. 082*********",10794
19204.,PR Cesylia Lylis Sudarti,"Jalan Purnawirawan, Karang Anyar, Tarakan Barat, Kota Tarakan, Kalimantan Utara Telp. 082*********",14120
19205.,PT Cetak Biru Kapital,"Jl Danau Sunter Selatan Blok O No 5, Sunter jaya, Tanjung Priuk, Kota Jakarta Utara, DKI Jakarta Telp. 0216413435",13133
19206.,CV Cetak Cepat Sejahtera,"Jl. Cibadak No. 242, Cibadak, Astana Anyar, Kota Bandung, Jawa Barat Telp. 0226015337",18111
19207.,PT Cetak Gesit Indonesia,"Jalan Raya Kuwukan Lontar Kav.74-B, Lontar, Sambikerep, Kota Surabaya, Jawa Timur Telp. 081*********",18111
19208.,PR Cetak Godhong,"Perumahan HER Mandiri 1 Blok H1 No. 4 Kelurahan Sepinggan Baru Kec. Balikpapan Selatan, Kota Balikpapan, Sepinggan  Baru, Balikpapan Selatan, Kota Balikpapan, Kalimantan Timur Telp. 081********",13134
19209.,PT Cetara Prima Persada,"Poros Bone Sinjai KM 43, Samaenre, Tonra, Kabupaten Bone, Sulawesi Selatan Telp. 085*********",24202
19210.,PR Ceu Papay,"Jl. Perjuangan Blok D No.12 RT 004 RW 002, Ciwaduk, Cilegon, Kota Cilegon, Banten Telp. 081*********",10750
19211.,PT Ceva Animal Health Indonesia,Telp.,
19212.,PT Ceva Industri Indonesia,"Tambakrejo Nomor 32, Tambakrejo, Waru, Kabupaten Sidoarjo, Jawa Timur Telp. 03199680858",10434
19213.,PT Ceve Sinar Aras,"BOGORAME, Purworejo, Gemolong, Kabupaten Sragen, Jawa Tengah Telp. 0271-6811833",20124
19214.,PT CFL METAL AND PLASTIC INDUSTRIES,Telp.,
19215.,PT CFM MINERALS INDONESIA,"JL.Raya Mojosari-Kejapanan, Jasem, Ngoro, Kabupaten Mojokerto, Jawa Timur Telp. +62 321 6820940",23990
19216.,PT Cfu Technology Indonesia,"EJIP Industrial Park Plot 9 M, Sukaresmi, Cikarang Selatan, Kabupaten Bekasi, Jawa Barat Telp. 0218970060",12099
19217.,PT Cgs Indonesia,"Jl Pasir Randu Kp Sampora Rt 001 Rw 001, Jaya Sampurna, Serang Baru, Kabupaten Bekasi, Jawa Barat Telp. 02189953363",32909
19218.,PR Ch Ari Prastiyanti,"JL. MANUKAN BHAKTI I BLOK 20C NO. 9, Manukan Kulon, Tandes, Kota Surabaya, Jawa Timur Telp. 087*********",10799
19219.,PR Ch. Indryastuti Prihandini,"perum. grand Lovina blok F-7 Dusun Celuk Buluh , Desa/Kelurahan Kalibukbuk, Kec. Buleleng, Kab. Buleleng, Provinsi Bali Kode Pos: 81119, Kalibukbuk, Buleleng, Kabupaten Buleleng, Bali Telp. 085*********",10710
19220.,PR Chabelita,"Jalan Plamboyan I Dusun Urisan Jaya RT.004, Padang, Manggar, Kabupaten Belitung Timur, Kepulauan Bangka Belitung Telp. -",10794
19181.,PT Ceres Display Art Indonesia,"DESA SUKAMANTRI NO.8, Sukamantri, Pasar Kemis, Kabupaten Tangerang, Banten Telp. 0215917960",26490
19182.,PT CERESTAR FLOUR MILLS,"Kawasan Industri Krakatau 2, Jalan jawa Kav. A2, Tegal Ratu, Ciwandan, Kota Cilegon, Banten Telp. 0254600708",10616
19183.,PT Cerestar Flour Mills,"Kawasan Industri Medan, Jalan Pulau Pinang VI, Saentis, Percut Sei Tuan, Kabupaten Deli Serdang, Sumatera Utara Telp. 061-42068088",10616
19184.,CV Ceria Group,"jln. Gunung Daek no 71 Rt.004 Rw 12 kelurahan Tembilahan Kota, Tembilahan  Kota, Tembilahan, Kabupaten Indragiri Hilir, Riau Telp. 085*********",11051
19185.,PT Ceria Metalindo Prima,"Desa Tolowe Ponre Waru, Desa Samaenre, Kecamatan Wolo, Kabupaten Kolaka, Provinsi Sulawesi Tenggara, Samaenre, Wolo, Kabupaten Kolaka, Sulawesi Tenggara Telp. 02122769324",24202
19186.,PT Ceria Metalindo Prima,"Desa tolowe Ponre Waru dan Desa Samaenre, Tolowe Ponre Waru, Wolo, Kabupaten Kolaka, Sulawesi Tenggara Telp.",24202
19187.,PT Ceria Pendidikan Indonesia,"18 Office Park, Lantai 10 Unit A, Jl. TB Simatupang Kav. 18, Kebagusan, Pasar Minggu, Jakarta Selatan, Kebagusan, Pasar Minggu, Kota Jakarta Selatan, DKI Jakarta Telp.",58200
19188.,PT Ceria Prima,"Dusun Senangak, Desa Kalon, Kalon, Seluas, Kabupaten Bengkayang, Kalimantan Barat Telp.",32909
19189.,CV Ceria Tri,"Jalan Kelimutu Gang Tatamailau RT 015, Sangatta Utara, Sangatta Utara, Kabupaten Kutai Timur, Kalimantan Timur Telp. 081********",10311
19190.,PT Cerita Anak Bangsa,Telp.,
19191.,PT Cerita Rasa Bersama,"Jl. Pulau Bacan No.33C, Jagabaya II, Way Halim, Kota Bandar Lampung, Lampung Telp. 081********",12019
19192.,PT Cerita Restock Teknologi Amannah,"-, Senayan, Kebayoran  Baru, Kota Jakarta Selatan, DKI Jakarta Telp. -",63122
19193.,PR Cerite Kopi,Telp.,
19194.,PT CERMAI MAKMUR ABADI INTERNATIONAL,"Jl. Cileungsi  - Jonggol  KM 4 , RT 12 RW 05, Ds. Mekar Sari Cileungsi 16820, Bogor  Indonesia, Mekarsari, Cileungsi, Kabupaten Bogor, Jawa Barat Telp. 02129232888",17019
19195.,PR Cerry Oktavia Pratiwi Aes,Telp.,
19196.,PT Certindonesia,Telp.,
19197.,PR Cery Tenijaya,Telp.,
19198.,CV Cesa Sethajtera Tobacco,Telp.,
19199.,PT Cesco Offshore And Engineering,"Komplek Intan Industri Park Blok B No.1, Tanjung Sengkuang, Batu Ampar, Kota Batam, Kepulauan Riau Telp. 07786000178",
19200.,PR Cesillia Sricahyani,"JL.WALUH Desa Wanareja Kecamatan Rimbo ulu ,Kab Tebo, Wanareja, Rimbo Ulu, Kabupaten Tebo, Jambi Telp. 082*********",10710
19161.,PT Cenul Bersama Sejahtera,Telp.,
19162.,PR Cenvia Nola,"TANJUNG DUSUN TANJUNG, Gasan Gadang, Batang Gasan, Kabupaten Padang Pariaman, Sumatera Barat Telp. -",10211
19163.,PR Cep Firman,"KP. Walahir RT. 004/002, Kidangpananjung, Cililin, Kabupaten Bandung Barat, Jawa Barat Telp. 083*********",10792
19164.,PR Cep Nugraha,Telp.,
19165.,PR Cepi Hermawan,"Puri Indah Lestari Blok.E1 No.14 RT002 RW016, Batujajar Timur, Batujajar, Kabupaten Bandung Barat, Jawa Barat Telp. 081*********",10750
19166.,PR Cepi Praditri,"Kp. Babakan, Wanajaya, Wanaraja, Kabupaten Garut, Jawa Barat Telp. 085*********",
19167.,PR Cepi Rahmatullah Permana,Telp.,
19168.,PR Cepi Setiawan,"Kp. Cikopeng RT.002/001, Kidangpananjung, Cililin, Kabupaten Bandung Barat, Jawa Barat Telp. 083*********",10792
19169.,PR Cepi Sunandar,Telp.,
19170.,PR Cepjoeno,Telp.,
19171.,CV Cepogo Agro Lestari,"Dukuh Bubakan, Desa/ Kelurahan Jelok, Kec. Cepogo, Kab. Boyolali, Jawa Tengah, Jelok, Cepogo, Kabupaten Boyolali, Jawa Tengah Telp. 081*********",10802
19172.,PT Ceprindo,"Jl. Raya Kelapa Hybrida PE 10 Kav. 18 No. 30 Lantai 2, Pegangsaan  Dua, Kelapa Gading, Kota Jakarta Utara, DKI Jakarta Telp. 021-45842494",71201
19173.,PR Cepuri Ngiras Nyawiji,"PEDUKUHAN II RT 007 RW 004, Cerme, Panjatan, Kabupaten Kulon Progo, DI Yogyakarta Telp. 081*********",21022
19174.,PT Ceraflo Tirta Indonesia,"Jalan Laksamana Bintan, Komplek Tanah Mas Blok M Nomor 10-11, Sungai Panas, Batam Kota, Kota Batam, Kepulauan Riau Telp. 0778463126",28199
19175.,PR Ceran Bajo Wakatobi,Telp.,
19176.,PT Cerapproval Indonesia Manufaktur,"Jl. Banyu Bumi Gas No.8, Cipinang, Pulogadung, Kota Jakarta Timur, DKI Jakarta Telp. +62 899-3300-033",26399
19177.,PT Cerapproval Internasional Manufaktur,Telp.,
19178.,PT Cerarufindo Primamandiri,"Jln.  Legok Raya Km 7 Kp. Manungtung, Legok, Legok, Kabupaten Tangerang, Banten Telp. 02153164545",22210
19179.,PT Cerberus Inovasi Teknologi,"Raffles Hills Blok LT Nomor.20, Desa/Kelurahan Sukatani, Kec. Tapos, Kota Depok, Provinsi Jawa Barat,, Sukatani, Tapos, Kota Depok, Jawa Barat Telp. 081*******",26210
19180.,PT Cerdas Digital Nusantara,"Jalan Makaliwe Raya No. 36 RT 002, RW 005, Grogol, Grogol Petamburan, Kota Jakarta Barat, DKI Jakarta Telp. 081*********",62019
19141.,PT Centralwindu Sejati,"Jl. Pulau Pinang V No. 01 Kel. Saentis Kec. Percut Sei Tuan Kab/Kota. Kab. Deli Serdang Provinsi Sumatera Utara, Saentis, Percut Sei Tuan, Kabupaten Deli Serdang, Sumatera Utara Telp.",10801
19142.,PT CENTRAM,"Desa Carat, Carat, Gempol, Kabupaten Pasuruan, Jawa Timur Telp. 0343 851441",10298
19143.,PT Centranusa Inti Prima Industry,"Jl. Raya KM 65, Kemantren, Paciran, Kabupaten Lamongan, Jawa Timur Telp. 0322662816",23942
19144.,PT Centranusa Inti Prima Industry,Telp.,
19145.,PT Centriz Avi Indonesia,"Banaran I, Banaran, Playen, Kabupaten Gunung Kidul, DI Yogyakarta Telp. 082***********",26490
19146.,PT Centro Asia Indotex,"Jl. Moh Toha KM. 4,1 No. 2, Periuk Jaya, Periuk, Kota Tangerang, Banten Telp. 021-55796448",13921
19147.,PT Centro Inti Media,"Jl. H. Musirin I No 32A, KEDOYA SELATAN, KEBON JERUK, Kota Jakarta Barat, DKI Jakarta Telp. 021 5835 5477",18111
19148.,PT Centro Links Indonesia,Telp.,
19149.,PT Centro Multi Niaga,"JABABEKA BIZZ PARK A21, MEKAR MUKTI, CIKARANG UTARA, Kabupaten Bekasi, Jawa Barat Telp.",13999
19150.,PT Centrotec Jit Bintan,"BUNDARAN TERRACE T10-T11, BINTAN INTI INDUSTRIAL ESTATE, LOBAM, BINTAN, KEPULAUAN RIAU, TELUK LOBAM, SERI KUALA LOBAM, Kabupaten Bintan, Kepulauan Riau Telp. 0770 696801",22293
19151.,CV Centrum Furniture,"JL. MANGESTI LUHUR RT 002 RW 005 LUWANG GATAK SUKOHARJO JAWA TENGAH, Luwang, Gatak, Kabupaten Sukoharjo, Jawa Tengah Telp. 0271 626758",31001
19152.,PT Centuri Kemas Pratama,Telp.,
19153.,PT CENTURY BATTERIES INDONESIA,"Jl. Mitra Raya Selatan 1, Blok E, Kav 17-18, Kawasan Industri Mitra Karawang, Parungmulya, Ciampel, Kabupaten Karawang, Jawa Barat Telp. 021-29488812",27202
19154.,PT Century Batteries Indonesia,Telp.,
19155.,PT Century Furnishing Industry,"Desa Sengonbugel, RT. 05 dan RT. 06/RW. 03,  Kel. Sengonbugel, Kec. Mayong, Kab. Jepara, Sengonbugel, Mayong, Kabupaten Jepara, Jawa Tengah Telp. 0291 7520903",31001
19156.,PT Century Metalindo,"Kawasan Industri Modern Cikande, Jalan Modern Industri X Kav. G2, barengkok, kibin, Kabupaten Serang, Banten Telp. 0254-8480848",24202
19157.,PT Century Mitra Sukses Sejati,"JL.Raya Serang KM 13,8 Kawasan Industri Tristate No.29, Ds Pasir Jaya, Cikupa, Kabupaten Tangerang, Banten Telp. 021-5963399",22220
19158.,PT Century Mitra Sukses Sejati,"Jl Raya Serang Km 24 No.138 Kp tegal Murni RT.003/003, Balaraja, Balaraja, Kabupaten Tangerang, Banten Telp. 021-5963399",22220
19159.,PT Century Technology Indonesia,"Kawasan Industri Candi Blok K/No. 18G, Bambankerep, Ngaliyan, Kota Semarang, Jawa Tengah Telp. -",22299
19160.,PT CENTURY TEXTILE INDUSTRY,"Jl. Raya Bogor Km.27 Rt 005 Rw 003, Ciracas, Ciracas, Kota Jakarta Timur, DKI Jakarta Telp. 0218710724",13132
19121.,PT Central Rezeki Agrindotama,"JL. Pulau Saparua II No 10 B  KIM III, TANGKAHAN, MEDAN LABUHAN, Kota Medan, Sumatera Utara Telp. 061-88809011",10632
19122.,PT Central Rezeki Agrindotama,Telp.,
19123.,PT CENTRAL SAHABAT BARU,"Jl. Raya Geluran Utara No.20 Rt.001 RW.001, Geluran, Taman, Kabupaten Sidoarjo, Jawa Timur Telp. 031- 7878078; 7878088",25940
19124.,PT Central Sandang Jayatama,"Jl . Raya Karang Pucung, Karangpucung, Karangpucung, Kabupaten Cilacap, Jawa Tengah Telp. 02806265535",14111
19125.,PT Central Sandang Prima,"Jl. Raya Rancaekek Km 25.5, Sukadana, Cimanggung, Kabupaten Sumedang, Jawa Barat Telp. 0227797407",13132
19126.,PT Central Sarana Pancing,"Jalan Raya Serang km 12 kawasan industri bunder no 88, Sukadamai, Cikupa, Kabupaten Tangerang, Banten Telp. 0215961265",32300
19127.,"PT Central Sarana Pancing, Cabang Purbalingga","Jalan Raya Bojong - Panican, Km. 4 , RT. 006, RW. 003, Dusun II, Jetis, Kemangkon, Kabupaten Purbalingga, Jawa Tengah Telp. (0281) 6580097",32300
19128.,PT Central Satryaperdana,"JL. RAYA CUKANGGALIH NO.1A, Cukanggalih, Curug, Kabupaten Tangerang, Banten Telp. 0215980008",25920
19129.,PR Central Teknik,"jl.Drs.H.Yusuf Majid no.127, Bukit Indah, Soreang, Kota Pare-Pare, Sulawesi Selatan Telp. 081*********",28210
19130.,PT Central Texindo,"Jl. Raya Batujajar No 32 KM3.1, Giriasih, Batujajar, Kabupaten Bandung Barat, Jawa Barat Telp. 0226866334",13132
19131.,PT Central Usaha Makmur,Telp.,
19132.,CV Central Utama Karya,"Dusun Arab I Rt 015 Rw 008 Kurnia Jaya, Kurnia Jaya, Manggar, Kabupaten Belitung Timur, Kepulauan Bangka Belitung Telp. 081*******",45201
19133.,CV Central Uv,"JL. KOMUD. SUPADIO NO. 90, HUSEIN SASTRANEGARA, CICENDO, Kota Bandung, Jawa Barat Telp. 0226120068",18111
19134.,PT CENTRAL WIRE INDUSTRIAL,"JL. RUNGKUT INDUSTRI RAYA NO. 17A, RUNGKUT KIDUL, RUNGKUT, Kota Surabaya, Jawa Timur Telp. 031 8439449",27320
19135.,CV Centralindo Megah,"Jl Duren Sawit, Yamansari, Lebaksiu, Kabupaten Tegal, Jawa Tengah Telp. 0283 4691518",11051
19136.,PT Centralpertiwi Bahari,"Kampung Bratasena Adiwarna, Bratasena Adiwarna, Dente Teladas, Kabupaten Tulangbawang, Lampung Telp. 0721351310",10750
19137.,PT CENTRALPERTIWI BAHARI,"Jl. Ir. Sutami KM. 16, Sindang Sari, Tanjung Bintang, Kabupaten Lampung Selatan, Lampung Telp. 0721352310",10801
19138.,PT CENTRALPERTIWI BAHARI,"JL. Rungkut Industri III No 81-83, rungkut tengah, gunung anyar, Kota Surabaya, Jawa Timur Telp. 0318476401",10750
19139.,PT Centraltech Lintas Nusa,"Jl. Mahar Martanegara No.173, Utama, Kec. Cimahi Selatan, Kota Cimahi, Jawa Barat 40533, Utama, Cimahi Selatan, Kota Cimahi, Jawa Barat Telp. (+62) 226031233",33122
19140.,PT Centralwindu Sejati,"Jl. Raya Surabaya - Mojokerto KM 19, Bringinbendo, Taman, Kabupaten Sidoarjo, Jawa Timur Telp. 031-7875265",10801
19101.,CV Central Makmur Abadi,"Jl. Raya Cipacing No.27, Jatinangor, jatinangor, Kabupaten Sumedang, Jawa Barat Telp. 085*********",13921
19102.,CV Central Mandiri,Telp.,
19103.,PT Central Mandiri Cemerlang,"Jl. Gambir No. 39, Pasar VIII Dusun VII, Tembung, Percut Sei Tuan, Kabupaten Deli Serdang, Sumatera Utara Telp. 061-7385861",25119
19104.,PT Central Mega Kencana,"Jl. Suci no 8 RT2/RW4, Susukan, Ciracas, Kota Jakarta Timur, DKI Jakarta Telp. 0218416455",32112
19105.,PT Central Megahtama,"Jl. Telesonik Ujung no. 2, Desa Bunder, Cikupa, Kabupaten Tangerang, Banten Telp. 021-5900281",20221
19106.,CV Central Mekar Makmur,Telp.,
19107.,PT Central Mineral Commodity,Telp.,
19108.,PT Central Motor Wheel Indonesia,"Kawasan Industri Suryacipta, Jl. Surya Madya VI, Kav. I-59,, Kutanegara, Ciampel, Kabupaten Karawang, Jawa Barat Telp. 0267-8637747",29300
19109.,PT CENTRAL MOTOR WHEEL INDONESIA,"Jl. Rembang Industri II No. 2, Pandean, Rembang, Kabupaten Pasuruan, Jawa Timur Telp. 0343740300",29300
19110.,PT Central Motor Wheel Jakarta Indonesia,"Surya Cipta City Of Industry, Jl. Surya Madya VI, Kav I-59, Kutanegara, Ciampel, Kabupaten Karawang, Jawa Barat Telp. 0267-8637747",29300
19111.,CV Central Mutu Indah 2,"KP. CIBUNGUR RT.02 RW .11, Batujajar Timur, Batujajar, Kabupaten Bandung Barat, Jawa Barat Telp. 02286672433",13911
19112.,CV Central Network,Telp.,
19113.,PT Central Paint Chemical,Telp.,
19114.,PT CENTRAL PANGANPERTIWI,"Jl. Raya Karawang Cikampek Km. 17, Purwasari, Cikampek, Kabupaten Karawang, Jawa Barat Telp. 02157851788",10801
19115.,PT Central Pertiwi Bahari,"Jl. Indraprasta, Wonorejo, Kaliwungu, Kabupaten Kendal, Jawa Tengah Telp. 085*********",10750
19116.,PT Central Presisi Metal,"JL RAYA MAUK KM 10 NO. 88, SEPATAN, SEPATAN, Kabupaten Tangerang, Banten Telp. 59371862",24103
19117.,PT CENTRAL PROTEINA PRIMA Tbk,"Jl. Dupak Rukun No. 81, Asem Rowo, Asem Rowo, Kota Surabaya, Jawa Timur Telp. 0315316677",10801
19118.,PT Central Proteina Prima Tbk,"Jl. Medan - Tanjung Morowa KM. 8.5, Timbang Deli, Medan Amplas, Kota Medan, Sumatera Utara Telp. 061-7867678",10801
19119.,PT Central Proteina Prima Tbk,"Jl. Raya Surabaya - Mojokerto KM. 19, Bringinbendo, Taman, Kabupaten Sidoarjo, Jawa Timur Telp. 0317875265",10801
19120.,"PT CENTRAL PROTEINA PRIMA, Tbk","jl. pulau pinang V no. 1, Kawasan Industri Medan II, saentis, percut sei tuan, Kabupaten Deli Serdang, Sumatera Utara Telp. 02157851788",10801
19081.,CV Central Buana Plastik,"Komplek Pergudangan Sentra Kosambi Blok E/19, Kosambi Timur, Kosambi, Kabupaten Tangerang, Banten Telp. 085*********",22220
19082.,CV Central Bukit Moria,"JL. S MUSI NO 01, SINGKIL DUA, SINGKIL, Kota Manado, Sulawesi Utara Telp. 0431 851360",20212
19083.,CV Central Cahaya Cemerlang,"jl. rengas no 54, gempolsari, bandung kulon, Kota Bandung, Jawa Barat Telp. 02287803594",13911
19084.,PT Central Cahaya Cemerlang,"KALIERANG RT 03 RW 01 SELOMERTO WONOSOBO, Kalierang, Selomerto, Kabupaten Wonosobo, Jawa Tengah Telp. 089*********",10750
19085.,PT Central Cipta Murdaya,"Kawasan Industri CCM, Cangkudu, Gembong, Sukamurni, & Sentul Jaya, Balaraja, Kabupaten Tangerang, Banten Telp.",
19086.,CV Central Coating,Telp.,
19087.,PT Central Coolindo Lestari,"JL.KRUING II MULTIGUNA 3 NO.1,DELTASILICON 1,CIKARANG SELATAN, Sukaresmi, Cikarang Selatan, Kabupaten Bekasi, Jawa Barat Telp. 02189118255",35301
19088.,PT Central Data Technology,"Centennial Tower Lantai 12, Jl. Jend Gatot Subroto Kav. 24-25, Karet Semanggi, Setiabudi, Kota Jakarta Selatan, DKI Jakarta Telp. 02180622200",
19089.,PT Central Diesel,"Komplek Pergudangan Mutiara A-15, Margomulyo, Tandes, Tandes, Kota Surabaya, Jawa Timur Telp. 0317482551",27112
19090.,PT CENTRAL FILTER GUNATAMA,"JL. RAYA PONDOK JAGUNG TIMUR NO.35 RT.03 / RW.02, PONDOK JAGUNG TIMUR, SERPONG UTARA, Kota Tangerang Selatan, Banten Telp. 021-5387198",25112
19091.,PT Central Fluxindo,Telp.,
19092.,PT Central Fortuna Steel,"JL. MELATI KP BARU NO. 6,, Wanaherang, Gunung Putri, Kabupaten Bogor, Jawa Barat Telp. 021-8670136",24102
19093.,CV Central Fragrance Utama,Telp.,
19094.,PT CENTRAL GEORGETTE NUSANTARA,"Jl. Cibaligo No. 45, Cibeureum, Cimahi Selatan, Kota Cimahi, Jawa Barat Telp. (022) 6040909",13132
19095.,PT Central Georgette Nusantara Printing Mills,"Jl. Batujajar km. 3.1, Giri Asih, Batujajar, Kabupaten Bandung Barat, Jawa Barat Telp. 022-6866735",13911
19096.,PT Central Java Daya Wiguna Indonesia,"Dukuh Jetis Rt 01 Rw 02, Kopen, Teras, Kabupaten Boyolali, Jawa Tengah Telp. 0276 320738",
19097.,PT Central Java Makmur Jaya,Telp.,
19098.,PT Central Jawa Wood Industry,"Jl.Tembus Kranggan Pringsurat KM.03, Nguwet, Kranggan, Kabupaten Temanggung, Jawa Tengah Telp. 0293-4901152",16211
19099.,PT Central Kreasi Sukses,"JL NUSA INDAH BLOK A NO.32, JURUMUDI, BENDA, Kota Tangerang, Banten Telp.",22220
19100.,PT Central Logam Industri Nasional,"Jl. Industri Selatan 1B Blok KK No. 3L, Pasir Sari, Cikarang Selatan, Kabupaten Bekasi, Jawa Barat Telp. 021-89841258",25920
19061.,CV Centerindo Kurnia Tritama,Telp.,
19062.,PT Centig Tour Wisata,"Kp. Kentrong Rt.003 Rw.004, Malangsari, Cipanas, Kabupaten Lebak, Banten Telp. 087*********",10799
19063.,PT Centra Agro Pratama,"Jl. Raya Deandles Rt 01 Rw 01, Ds.Bolo Ujungpangkah - Gresik, Bolo, Ujungpangkah, Kabupaten Gresik, Jawa Timur Telp. 0313944887",20121
19064.,PT Centra Biotech Indonesia,"GRIYA LUSAH PRATAMA, DESA PRAWATAN, Kel. Prawatan, Kec. Jogonalan, Kab. Klaten, Prov. Jawa Tengah, Prawatan, Jogonalan, Kabupaten Klaten, Jawa Tengah Telp. 081*******",20212
19065.,CV Centra Grafindo,"Jl Lowanu no 58, Sorosutan, Umbulharjo, Kota Yogyakarta, DI Yogyakarta Telp. 0274565016",18111
19066.,PT Centra Kosambi Jaya,"Komp Pergudangan Sentra Kosambi Blok H 6 P, Kosambi Timur, Kosambi, Kabupaten Tangerang, Banten Telp. 021-55956225",22220
19067.,PT Centra Lautan Pewarna,"JL RAYA PERANCIS PERGUDANGAN 8 No.8 IC, JATIMULYA, KOSAMBI, Kabupaten Tangerang, Banten Telp. 021-5504223",20116
19068.,PR Centra Tenun Tajung,"Jalan Aiptu A Wahab No 11 RT 31 RW 01 PALEMBANG, Tuan Kentang, Jakabaring, Kota Palembang, Sumatera Selatan Telp. 081*********",
19069.,PR Central,"Jl. Geluran No. 26, Kel. Geluran, Kec. Taman, Kab. Sidoarjo, Prop. Jawa Timur, Geluran, Taman, Kabupaten Sidoarjo, Jawa Timur Telp. 031 7881067",10614
